CLASS_LABEL 1_1_5_0 1_1_5_1 1_1_5_2 1_1_12_0 1_1_12_1 1_1_12_2 1_1_4_0 1_1_4_1 1_1_4_2 1_1_3_0 1_1_3_1 1_1_3_2 1_1_2_0 1_1_2_1 1_1_2_2 1_1_7_0 1_1_7_1 1_1_7_2 1_1_8_0 1_1_8_1 1_1_8_2 2_1_5_0 2_1_5_1 2_1_5_2 2_1_12_0 2_1_12_1 2_1_12_2 2_1_4_0 2_1_4_1 2_1_4_2 2_1_3_0 2_1_3_1 2_1_3_2 2_1_2_0 2_1_2_1 2_1_2_2 2_1_7_0 2_1_7_1 2_1_7_2 2_1_8_0 2_1_8_1 2_1_8_2
20 -160 -70 1019 -158 -71 1018 67 19 273 -195 -79 1003 -128 -60 1276 155 70 1021 19 3 29 -30 -210 1011 -31 -210 1012 6 14 8 -34 -217 1008 -28 -203 1016 30 209 1011 1 3 1                                                
20 -123 -67 1021 -123 -67 1021 42 13 29 -146 -74 1002 -104 -61 1031 122 67 1021 8 2 4 -30 -210 1011 -30 -211 1012 5 13 8 -33 -218 1008 -28 -205 1016 30 210 1011 1 2 1                                                
20 -136 -65 1020 -138 -65 1021 38 19 20 -158 -77 1010 -120 -58 1030 137 65 1020 10 2 3 -30 -211 1011 -30 -211 1012 11 12 9 -35 -218 1009 -24 -206 1018 30 211 1011 1 2 1                                                
20 -144 -70 1018 -144 -65 1019 57 89 68 -180 -123 979 -123 -34 1047 144 72 1018 9 18 11 -29 -212 1011 -31 -211 1012 32 51 26 -43 -246 999 -11 -195 1025 30 213 1011 5 9 4                                                
20 -136 -81 1018 -135 -79 1021 66 89 68 -180 -123 979 -114 -34 1047 137 83 1018 11 21 11 -25 -219 1010 -26 -218 1010 32 58 26 -43 -253 999 -11 -195 1025 26 220 1010 7 15 5                                                
20 -132 -82 1019 -132 -80 1019 35 63 38 -149 -121 997 -114 -58 1035 132 83 1019 7 12 7 -23 -223 1009 -22 -223 1009 26 54 23 -39 -253 1002 -13 -199 1025 23 223 1009 4 11 4                                                
20 -140 -81 1017 -142 -81 1018 40 28 44 -159 -97 997 -119 -69 1041 140 82 1017 9 6 8 -25 -222 1009 -25 -223 1010 23 22 20 -39 -234 1001 -16 -212 1021 25 222 1009 4 4 4                                                
20 -137 -83 1018 -138 -85 1019 46 29 40 -159 -97 1001 -113 -68 1041 138 84 1018 10 7 7 -25 -222 1009 -26 -223 1010 15 29 26 -35 -237 996 -20 -208 1022 26 223 1009 3 6 5                                                
20 -129 -82 1020 -130 -83 1021 31 26 26 -144 -94 1008 -113 -68 1034 129 82 1020 5 5 4 -25 -222 1009 -25 -223 1009 14 29 26 -34 -237 996 -20 -208 1022 25 222 1009 2 5 4                                                
20 -129 -82 1020 -130 -82 1021 29 16 20 -145 -88 1011 -116 -72 1031 129 82 1020 6 2 3 -25 -222 1009 -25 -223 1009 7 21 6 -29 -235 1007 -22 -214 1013 25 222 1009 1 3 1                                                
20 -134 -83 1019 -135 -83 1019 40 14 20 -156 -91 1011 -116 -77 1031 135 83 1019 8 2 4 -26 -218 1009 -26 -222 1010 10 44 10 -32 -235 1005 -22 -191 1015 26 219 1009 2 9 2                                                
20 -133 -84 1018 -133 -84 1019 41 15 21 -156 -93 1011 -115 -78 1032 134 84 1018 9 3 4 -26 -215 1010 -26 -217 1010 10 40 10 -32 -231 1005 -22 -191 1015 26 216 1010 1 8 1                                                
20 -134 -83 1018 -133 -83 1019 49 21 45 -157 -93 994 -108 -68 1039 133 82 1019 12 5 9 -25 -222 1009 -25 -222 1009 18 38 18 -36 -244 1000 -18 -206 1018 24 223 1009 2 8 3                                                
20 -119 -72 1022 -114 -73 1022 40 26 24 -140 -83 1011 -100 -57 1035 116 71 1021 10 8 5 -24 -224 1008 -24 -225 1009 13 25 10 -28 -236 1005 -15 -211 1015 24 224 1008 2 4 2                                                
