% DB SPINE - DataColletor Application
%Data acquired from "cpu temperature" and "accelerometer".
%
%!Node phyID:1
%!Sensor_Setup: sensor=cpu temperature(4), timeScale=ms, samplingTime=300
%!Sensor_Setup: sensor=accelerometer(1), timeScale=ms, samplingTime=500
%!Feature_Setup: sensor=cpu temperature(4), window=20, shift =10
%!Feature_Setup: sensor=accelerometer(1), window=40, shift =20
%!Feature_Activation: sensor=cpu temperature(4), feature=Raw Data{1} channels=ch1[0]
%!Feature_Activation: sensor=accelerometer(1), feature=Min{3} channels=ch1 ch2 ch3[0 1 2], feature=Raw Data{1} channels=ch1 ch2 ch3[0 1 2]
@relation spine
@attribute CLASS_LABEL {Section_one, Section_two, Section_three}
@attribute featureDataId numeric
@attribute featureId numeric
@attribute sensorCode_featureCode_chNum string
@attribute featureValue numeric
@data
Section_one,0,0,4_1_0,2923
Section_one,1,0,4_1_0,2922
Section_one,2,0,4_1_0,2923
Section_one,3,0,1_3_0,0
Section_one,3,0,1_3_1,65502
Section_one,3,0,1_3_2,0
Section_one,3,1,1_1_0,53
Section_one,3,1,1_1_1,65503
Section_one,3,1,1_1_2,1020
Section_one,4,0,4_1_0,2923
Section_one,5,0,4_1_0,2920
Section_one,6,0,4_1_0,2925
Section_one,7,0,1_3_0,0
Section_one,7,0,1_3_1,65501
Section_one,7,0,1_3_2,0
Section_one,7,1,1_1_0,56
Section_one,7,1,1_1_1,65501
Section_one,7,1,1_1_2,1019
Section_one,8,0,4_1_0,2923
Section_one,9,0,4_1_0,2925
Section_one,10,0,4_1_0,2924
Section_one,11,0,1_3_0,53
Section_one,11,0,1_3_1,65501
Section_one,11,0,1_3_2,1019
Section_one,11,1,1_1_0,54
Section_one,11,1,1_1_1,65503
Section_one,11,1,1_1_2,1020
Section_one,12,0,4_1_0,2923
Section_one,13,0,4_1_0,2923
Section_one,14,0,4_1_0,2923
Section_one,15,0,4_1_0,2922
Section_one,16,0,1_3_0,53
Section_one,16,0,1_3_1,65501
Section_one,16,0,1_3_2,1019
Section_one,16,1,1_1_0,54
Section_one,16,1,1_1_1,65503
Section_one,16,1,1_1_2,1019
Section_one,17,0,4_1_0,2918
Section_one,18,0,4_1_0,2920
Section_one,19,0,4_1_0,2922
Section_one,20,0,1_3_0,53
Section_one,20,0,1_3_1,65501
Section_one,20,0,1_3_2,1019
Section_one,20,1,1_1_0,54
Section_one,20,1,1_1_1,65503
Section_one,20,1,1_1_2,1020
Section_one,21,0,4_1_0,2921
Section_one,22,0,4_1_0,2922
Section_one,23,0,4_1_0,2924
Section_one,24,0,1_3_0,51
Section_one,24,0,1_3_1,65502
Section_one,24,0,1_3_2,1019
Section_one,24,1,1_1_0,53
Section_one,24,1,1_1_1,65504
Section_one,24,1,1_1_2,1020
Section_one,25,0,4_1_0,2922
Section_one,26,0,4_1_0,2923
Section_one,27,0,4_1_0,2924
Section_two,28,0,4_1_0,2924
Section_two,29,0,4_1_0,2922
Section_two,30,0,1_3_0,51
Section_two,30,0,1_3_1,65502
Section_two,30,0,1_3_2,1019
Section_two,30,1,1_1_0,54
Section_two,30,1,1_1_1,65503
Section_two,30,1,1_1_2,1019
Section_two,31,0,4_1_0,2925
Section_two,32,0,4_1_0,2924
Section_two,33,0,4_1_0,2923
Section_two,34,0,1_3_0,64410
Section_two,34,0,1_3_1,65483
Section_two,34,0,1_3_2,3
Section_two,34,1,1_1_0,64476
Section_two,34,1,1_1_1,65533
Section_two,34,1,1_1_2,7
Section_two,35,0,4_1_0,2927
Section_two,36,0,4_1_0,2923
Section_two,37,0,4_1_0,2924
Section_two,38,0,4_1_0,2923
Section_two,39,0,1_3_0,64354
Section_two,39,0,1_3_1,65368
Section_two,39,0,1_3_2,64930
Section_two,39,1,1_1_0,64923
Section_two,39,1,1_1_1,187
Section_two,39,1,1_1_2,1095
Section_two,40,0,4_1_0,2923
Section_two,41,0,4_1_0,2923
Section_two,42,0,4_1_0,2922
Section_two,43,0,1_3_0,64293
Section_two,43,0,1_3_1,65286
Section_two,43,0,1_3_2,64858
Section_two,43,1,1_1_0,64470
Section_two,43,1,1_1_1,42
Section_two,43,1,1_1_2,65113
Section_two,44,0,4_1_0,2924
Section_two,45,0,4_1_0,2924
Section_two,46,0,4_1_0,2925
Section_two,47,0,1_3_0,64202
Section_two,47,0,1_3_1,65263
Section_two,47,0,1_3_2,64858
Section_two,47,1,1_1_0,64283
Section_two,47,1,1_1_1,60
Section_two,47,1,1_1_2,277
Section_two,48,0,4_1_0,2925
Section_two,49,0,4_1_0,2921
Section_two,50,0,4_1_0,2921
Section_two,51,0,4_1_0,2926
Section_two,52,0,1_3_0,64202
Section_two,52,0,1_3_1,65263
Section_two,52,0,1_3_2,65110
Section_two,52,1,1_1_0,64571
Section_two,52,1,1_1_1,238
Section_two,52,1,1_1_2,65378
Section_two,53,0,4_1_0,2926
Section_two,54,0,4_1_0,2924
Section_two,55,0,4_1_0,2925
